species	UKOTs	remarks (optional)
Canis familiaris	VG	NA
Iguana iguana	VG	NA
Molothrus bonariensis	VG	NA
Chiloscyllium punctatum	VG	NA
Platax orbicularis	VG	NA
Boa constrictor imperator	VG	NA
Caiman crocodilus	VG	NA
Python molurus bivittatus	VG	NA
Ramphotyphlops braminus	VG	NA
Eleutherodactylus cocqui	VG	NA
