species	UKOTs	remarks (optional)
Iguana iguana	AI, TC	NA
Anolis equestris	KY	NA
Procyon lotor	KY	NA
Python molurus bivittatus	KY	NA
Boa constrictor imperator	KY	NA
Bufo marinus	KY	NA
Herpestes auropunctatus	KY	NA
Herpestes javanicus	KY	NA
