Search results from the CABI Horizon Scanning Tool <2018-05-16>,,,,,,,,,,,,,,
"Area at risk: Cayman Islands ; Source Countries: Cuba, USA/Florida, Mexico, Aldabra, Angola, Anguilla, Australia, Australia/Australian Northern Territory, Australia/Queensland, Australia/Western Australia, Bahamas, Bangladesh, Belize, Benin, Bolivia, Bonaire, Brazil, Brazil/Acre, Brazil/Amazonas, Brazil/Bahia, Brazil/Ceara, Brazil/Espirito Santo, Brazil/Fernando de Noronha, Brazil/Goias, Brazil/Maranhao, Brazil/Mato Grosso, Brazil/Mato Grosso do Sul, Brazil/Minas Gerais, Brazil/Para, Brazil/Paraiba, Brazil/Parana, Brazil/Pernambuco, Brazil/Piaui, Brazil/Rio de Janeiro, Brazil/Rio Grande do Norte, Brazil/Rondonia, Brazil/Roraima, Brazil/Sao Paulo, Brazil/Tocantins, British Virgin Islands, Burkina Faso, Burundi, Cambodia, Cameroon, Central African Republic, Chad, China, China/Guangdong, China/Hainan, Christmas Island (Indian Ocean), Cocos Islands, Colombia, Congo, Congo Democratic Republic, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Dominican Republic, East Timor, Ecuador, Ecuador/Galapagos Islands, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Ghana, Grenada, Grenada/Carriacou, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, India, India/Andhra Pradesh, India/Chhattisgarh, India/Dadra and Nagar Haveli, India/Daman, India/Diu, India/Goa, India/Gujarat, India/Indian Punjab, India/Jharkhand, India/Karnataka, India/Kerala, India/Madhya Pradesh, India/Maharashtra, India/Odisha, India/Puducherry, India/Rajasthan, India/Tamil Nadu, India/Tripura, India/West Bengal, Indonesia, Indonesia/Irian Jaya, Indonesia/Java, Indonesia/Moluccas, Indonesia/Nusa Tenggara, Indonesia/Sulawesi, Jamaica, Japan/Bonin Island, Japan/Ryukyu Archipelago, Kenya, Laos, Liberia, Madagascar, Malawi, Mali, Mexico, Midway Islands, Mozambique, Myanmar, Netherlands Antilles, New Caledonia, Nicaragua, Niger, Nigeria, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Puerto Rico, Rwanda, Senegal, Sierra Leone, Sint Maarten, South Africa, Sudan, Swaziland, Taiwan, Tanzania, Thailand, Togo, Trinidad and Tobago, Turks and Caicos Islands, Uganda, US Minor Outlying Islands, USA, USA/Florida, Venezuela, Vietnam, Wake Island, Zambia, Zimbabwe ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: Vertebrates",,,,,,,,,,,,,,
"Citation: <CABI, <2018>. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,Compendia content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Ambloplites rupestris,rock bass,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Centrarchidae,,no data,,https://www.cabi.org/cpc/datasheet/94435; https://www.cabi.org/isc/datasheet/94435
Ameiurus melas,black bullhead,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Ictaluridae,,no data,,https://www.cabi.org/isc/datasheet/94466
Ameiurus natalis,,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Ictaluridae,,no data,,https://www.cabi.org/isc/datasheet/94467
Ameiurus nebulosus,brown bullhead,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Ictaluridae,,no data,,https://www.cabi.org/cpc/datasheet/94468; https://www.cabi.org/isc/datasheet/94468
Ammotragus lervia,aoudad,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,,no data,,https://www.cabi.org/isc/datasheet/94507
Amphiprion,,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacentridae,,no data,no data,https://www.cabi.org/isc/datasheet/104901
Amphisbaena fuliginosa,speckled worm lizard,Vertebrates,ISC (Full),Documented Species,Eukaryota,Metazoa,Chordata,Reptilia,Squamata,Amphisbaenidae,,no data,no data,https://www.cabi.org/isc/datasheet/119363
Anchoa mundeoloides,northern Gulf anchovy,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Clupeiformes,Engraulidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112249
Anolis aeneus,bronze anole,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Iguanidae,,no data,,https://www.cabi.org/isc/datasheet/5489
Anolis cristatellus,Puerto Rican crested anole,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Iguanidae,,no data,,https://www.cabi.org/isc/datasheet/93810
Anolis extremus,Barbados anole,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Iguanidae,,no data,,https://www.cabi.org/isc/datasheet/112276
Anolis lineatus,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Iguanidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112279
Anolis porcatus,,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Iguanidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112281
Anolis trinitatis,St Vincent bush anole,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Iguanidae,,no data,,https://www.cabi.org/isc/datasheet/93831
Anolis wattsi,Watts' anole,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Sauria,Iguanidae,,no data,,https://www.cabi.org/isc/datasheet/112283
Anser indicus,bar-headed goose,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Anseriformes,Anatidae,,no data,no data,https://www.cabi.org/isc/datasheet/94089
Aphyocharax anisitsi,bloodfin tetra,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Characiformes,Characidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112348
Aplocheilus lineatus,striped panchax,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Aplocheilidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112353
Apolemichthys xanthopunctatus,goldspotted angelfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacanthidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112360
Aquila chrysaetos,Golden eagle,Vertebrates,"CPC (Full) , ISC (Full)","Documented Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Falconiformes,Accipitridae,,no data,no data,https://www.cabi.org/cpc/datasheet/93340; https://www.cabi.org/isc/datasheet/93340
Arenaria serpyllifolia,thymeleaf sandwort,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Aves,Charadriiformes,Scolopacidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112404
Aristichthys nobilis,bighead carp,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/92426
Arothron diadematus,masked pufferfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112436
Aspius aspius,asp,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/cpc/datasheet/92623; https://www.cabi.org/isc/datasheet/92623
Astatoreochromis alluaudi,Alluaud's haplo,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,,no data,no data,https://www.cabi.org/isc/datasheet/120150
Astronotus ocellatus,oscar,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Perciformes,Cichlidae,,no data,,https://www.cabi.org/isc/datasheet/92671
Axis axis,Indian spotted deer,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Cervidae,,no data,no data,https://www.cabi.org/isc/datasheet/89941
