Search results from the CABI Horizon Scanning Tool <2018-05-16>,,,,,,,,,,,,,,
"Area at risk: Cayman Islands ; Source Countries: Cuba, USA/Florida, Mexico, Aldabra, Angola, Anguilla, Australia, Australia/Australian Northern Territory, Australia/Queensland, Australia/Western Australia, Bahamas, Bangladesh, Belize, Benin, Bolivia, Bonaire, Brazil, Brazil/Acre, Brazil/Amazonas, Brazil/Bahia, Brazil/Ceara, Brazil/Espirito Santo, Brazil/Fernando de Noronha, Brazil/Goias, Brazil/Maranhao, Brazil/Mato Grosso, Brazil/Mato Grosso do Sul, Brazil/Minas Gerais, Brazil/Para, Brazil/Paraiba, Brazil/Parana, Brazil/Pernambuco, Brazil/Piaui, Brazil/Rio de Janeiro, Brazil/Rio Grande do Norte, Brazil/Rondonia, Brazil/Roraima, Brazil/Sao Paulo, Brazil/Tocantins, British Virgin Islands, Burkina Faso, Burundi, Cambodia, Cameroon, Central African Republic, Chad, China, China/Guangdong, China/Hainan, Christmas Island (Indian Ocean), Cocos Islands, Colombia, Congo, Congo Democratic Republic, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Dominican Republic, East Timor, Ecuador, Ecuador/Galapagos Islands, El Salvador, Equatorial Guinea, Eritrea, Ethiopia, Gabon, Gambia, Ghana, Grenada, Grenada/Carriacou, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, India, India/Andhra Pradesh, India/Chhattisgarh, India/Dadra and Nagar Haveli, India/Daman, India/Diu, India/Goa, India/Gujarat, India/Indian Punjab, India/Jharkhand, India/Karnataka, India/Kerala, India/Madhya Pradesh, India/Maharashtra, India/Odisha, India/Puducherry, India/Rajasthan, India/Tamil Nadu, India/Tripura, India/West Bengal, Indonesia, Indonesia/Irian Jaya, Indonesia/Java, Indonesia/Moluccas, Indonesia/Nusa Tenggara, Indonesia/Sulawesi, Jamaica, Japan/Bonin Island, Japan/Ryukyu Archipelago, Kenya, Laos, Liberia, Madagascar, Malawi, Mali, Mexico, Midway Islands, Mozambique, Myanmar, Netherlands Antilles, New Caledonia, Nicaragua, Niger, Nigeria, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Puerto Rico, Rwanda, Senegal, Sierra Leone, Sint Maarten, South Africa, Sudan, Swaziland, Taiwan, Tanzania, Thailand, Togo, Trinidad and Tobago, Turks and Caicos Islands, Uganda, US Minor Outlying Islands, USA, USA/Florida, Venezuela, Vietnam, Wake Island, Zambia, Zimbabwe ; Pathways: N/A (Including datasheets with no pathways data) ; Plant hosts: N/A ; Plant parts in trade: N/A  (Including datasheets with no plant part in trade data) ; Habitats: N/A  (Including datasheets with no habitats data) ; Taxonomic group: Vertebrates",,,,,,,,,,,,,,
"Citation: <CABI, <2018>. Horizon Scanning Tool. Crop Protection Compendium. Wallingford, UK: CAB International. https://www.cabi.org/cpc.>",,,,,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Preferred scientific name,International common name,Taxonomic group,Compendia content,Datasheet Type,Domain,Kingdom,Phylum,Class,Order,Family,Habitats,Plant parts in trade,Pathways,Datasheet URL(s)
Balistoides conspicillum,clown triggerfish,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112650
Bandicota indica,greater bandicoot rat,Vertebrates,"CPC (Full) , ISC (Basic)","Pest,Natural Enemy",Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/8439
Belonesox belizanus,pike killifish,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,,no data,,https://www.cabi.org/isc/datasheet/91274
Boa imperator,Central American Boa,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Reptilia,Serpentes,Boidae,,no data,,https://www.cabi.org/isc/datasheet/112730
Boiga irregularis,brown tree snake,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy",Eukaryota,Metazoa,Chordata,Reptilia,Serpentes,Colubridae,,no data,,https://www.cabi.org/cpc/datasheet/91542; https://www.cabi.org/isc/datasheet/91542
Bos bison,American bison,Vertebrates,ISC (Full),"Invasive Species,Threatened Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,,no data,no data,https://www.cabi.org/isc/datasheet/91401
Bos taurus,cattle,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,,no data,no data,https://www.cabi.org/isc/datasheet/91651
Branta hutchinsii,,Vertebrates,ISC (Full),Invasive Species,Eukaryota,Metazoa,Chordata,Aves,Anseriformes,Anatidae,,no data,no data,https://www.cabi.org/isc/datasheet/109129
Bubalus bubalis,Asian water buffalo,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,,no data,no data,https://www.cabi.org/isc/datasheet/90762
Bubulcus ibis,cattle egret,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Threatened Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Ciconiiformes,Ardeidae,,no data,no data,https://www.cabi.org/cpc/datasheet/90783; https://www.cabi.org/isc/datasheet/90783
Bufo blombergi,Columbian giant toad,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Bufonidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112835
Callichthys callichthys,cascarudo,Vertebrates,ISC (Basic),Invasive Species,Eukaryota,Metazoa,Chordata,Actinopterygii,Siluriformes,Callichthyidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/112880
Callosciurus erythraeus,Pallas's squirrel,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,,no data,no data,https://www.cabi.org/isc/datasheet/91200
Callosciurus finlaysonii,Finlayson's squirrel,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,,no data,,https://www.cabi.org/isc/datasheet/91203
Callosciurus notatus,plantain squirrel,Vertebrates,"CPC (Full) , ISC (Basic)","Pest,Natural Enemy",Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,no data,no data,no data,https://www.cabi.org/cpc/datasheet/10812
Camelus dromedarius,dromedary camel,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Camelidae,no data,no data,no data,https://www.cabi.org/isc/datasheet/90205
Canis latrans,Coyote,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Canidae,,no data,no data,https://www.cabi.org/cpc/datasheet/90296; https://www.cabi.org/isc/datasheet/90296
Capra hircus,goats,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,,no data,no data,https://www.cabi.org/cpc/datasheet/90416; https://www.cabi.org/isc/datasheet/90416
Carassius auratus auratus,goldfish,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,no data,https://www.cabi.org/cpc/datasheet/90563; https://www.cabi.org/isc/datasheet/90563
Carassius cuvieri,Japanese crucian carp,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/isc/datasheet/90565
Carassius gibelio,Prussian carp,Vertebrates,"CPC (Full) , ISC (Full)","Invasive Species,Natural Enemy,Host Animal",Eukaryota,Metazoa,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,no data,,https://www.cabi.org/cpc/datasheet/90562; https://www.cabi.org/isc/datasheet/90562
Carpodacus mexicanus,house finch,Vertebrates,ISC (Full),"Invasive Species,Host Animal",Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Fringillidae,,no data,no data,https://www.cabi.org/isc/datasheet/90438
