species	experts	remarks	AI	BM	KY	MS	TC	VG
Hemiechinus auritus	Bryan_Manco		NA	NA	NA	NA	1	NA
Herpestes auropunctatus	Fred_Burton,Bryan_Manco,Tim_Adriaens,Elena_Tricarico	moderate impact	NA	NA	NA	NA	4	NA
Herpestes auropunctatus	Fred_Burton,Tim_Adriaens	moderate impact	NA	NA	NA	NA	NA	2
Herpestes auropunctatus	Fred_Burton,Tim_Adriaens,Elena_Tricarico	moderate impact	NA	NA	NA	3	NA	NA
Herpestes auropunctatus	Fred_Burton,Tim_Adriaens,Jason_Berry,Elena_Tricarico	moderate impact	NA	NA	4	NA	NA	NA
Herpestes javanicus	Bryan_Manco		NA	NA	NA	NA	1	NA
Herpestes javanicus	Jason_Berry		NA	NA	1	NA	NA	NA
Iguana iguana	Fred_Burton,Elena_Tricarico,Jane_Haakonsson_Sophie_O’Hehir	very high impact on KY	NA	3	NA	NA	NA	NA
Iguana iguana	Fred_Burton,Jason_Berry,Elena_Tricarico,Jane_Haakonsson_Sophie_O’Hehir	very high impact on KY	NA	NA	NA	NA	4	NA
Iguana iguana	Fred_Burton,Jason_Berry,Jane_Haakonsson_Sophie_O’Hehir	very high impact on KY	3	NA	NA	NA	NA	NA
Iguana iguana	Latisha_Martin,Elena_Tricarico		NA	NA	NA	NA	NA	2
Lampropeltis getula	Tim_Adriaens		1	1	1	1	1	1
Leiocephalus carinatus	Bryan_Manco		NA	NA	NA	NA	1	NA
Lepidodacylus lugubris	Fred_Burton	Found in GCM 2017	1	1	NA	1	1	1
Lonchura malacca	Fred_Burton		1	1	NA	1	1	1
Lonchura punctulata	Fred_Burton	suspected  breeding on KY	1	1	NA	1	1	1
Mephitis mephitis	Bryan_Manco		NA	NA	NA	NA	1	NA
Mesocricetus auratus	Bryan_Manco		NA	NA	NA	NA	1	NA
Molothrus bonariensis	Elena_Tricarico		NA	NA	1	NA	NA	NA
Molothrus bonariensis	Fred_Burton,Tim_Adriaens,Elena_Tricarico	moderate impact	3	3	NA	3	3	NA
Molothrus bonariensis	Fred_Burton,Tim_Adriaens,Latisha_Martin,Elena_Tricarico	moderate impact	NA	NA	NA	NA	NA	4
Mus musculus	Elena_Tricarico		NA	NA	NA	1	1	NA
Mustela erminea	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	if in trade	2	2	2	2	2	2
Mustela nivalis	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	if in trade	2	2	2	2	2	2
Mustela putorius furo	Bryan_Manco		NA	NA	NA	NA	1	NA
Myiopsitta monachus	Fred_Burton,Tim_Adriaens,Elena_Tricarico,Jane_Haakonsson_Sophie_O’Hehir,Rose-Smyth_Christine	breeding on KY	5	5	NA	5	5	5
Octodon degus	Bryan_Manco		NA	NA	NA	NA	1	NA
Oreochromis sp.	Elena_Tricarico	To double check with local experts possible impacts on biodiversity of the different islands	1	1	1	1	1	1
Oreochromis spp.	Fred_Burton	Invasive throughout Grand Cayman	1	1	NA	1	1	1
Oryctolagus cuniculus	Elena_Tricarico		1	1	1	1	1	1
Osteopilus septentrionalis	Elena_Tricarico		NA	1	NA	1	NA	NA
Pantherophis alleghaniensis	Bryan_Manco		NA	NA	NA	NA	1	NA
Pantherophis guttatus	Elena_Tricarico		1	1	NA	1	NA	1
Pantherophis guttatus	Jason_Berry,Elena_Tricarico	Present in KY	NA	NA	NA	NA	2	NA
Passer domesticus	Tim_Adriaens,Elena_Tricarico		2	NA	2	2	2	2
Petaurus breviceps	Bryan_Manco		NA	NA	NA	NA	1	NA
Phodopus roborovskii	Bryan_Manco		NA	NA	NA	NA	1	NA
Phodopus sungorus	Bryan_Manco		NA	NA	NA	NA	1	NA
Physignathus cocincinus	Jane_Haakonsson_Sophie_O’Hehir	reptiles resembling greens (e.g. chinese water dragon)	1	1	1	1	1	1
Pitangus sulphuratus	Tim_Adriaens		1	NA	1	1	NA	1
Pitangus sulphuratus	Tim_Adriaens,Jason_Berry		NA	NA	NA	NA	2	NA
Platax orbicularis	Latisha_Martin		NA	NA	NA	NA	NA	1
Pogona viticeps	Bryan_Manco		NA	NA	NA	NA	1	NA
Procyon lotor	Fred_Burton,Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	moderate impact	3	3	NA	3	3	3
Procyon lotor	Fred_Burton,Tim_Adriaens,Jason_Berry,Jane_Haakonsson_Sophie_O’Hehir	moderate impact	NA	NA	4	NA	NA	NA
Psittacula eupatria	Tim_Adriaens		1	1	1	1	1	1
Psittacula krameri	Fred_Burton,Jane_Haakonsson_Sophie_O’Hehir		2	2	2	2	2	2
Pycnonotus cafer	Tim_Adriaens		1	1	1	1	1	1
Pygocentrus nattereri	Mark_Outerbridge		NA	1	NA	NA	NA	NA
Python molurus bivittatus	Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir		2	NA	NA	2	2	NA
Python molurus bivittatus	Tim_Adriaens,Jason_Berry,Jane_Haakonsson_Sophie_O’Hehir		NA	NA	3	NA	NA	NA
Python molurus bivittatus	Tim_Adriaens,Latisha_Martin,Jane_Haakonsson_Sophie_O’Hehir		NA	NA	NA	NA	NA	3
Python molurus bivittatus	Tim_Adriaens,Mark_Outerbridge,Jane_Haakonsson_Sophie_O’Hehir		NA	3	NA	NA	NA	NA
Python regius	Jane_Haakonsson_Sophie_O’Hehir		1	1	1	1	1	1
Ramphotyphlops braminus	Fred_Burton,Latisha_Martin,Rose-Smyth_Christine	on KY	NA	NA	NA	NA	NA	3
Ramphotyphlops braminus	Fred_Burton,Rose-Smyth_Christine	on KY	2	2	NA	2	2	NA
Rattus norvegicus	Fred_Burton,Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	very high impact on KY, abundant in KY, if not on all islands	3	NA	NA	3	3	3
Rattus norvegicus	Mark_Outerbridge		NA	1	NA	NA	NA	NA
Rattus rattus	Fred_Burton,Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	very high impact on KY, if not on all islands	3	NA	NA	3	3	3
Rattus rattus	Mark_Outerbridge		NA	1	NA	NA	NA	NA
Sauromalus ater	Bryan_Manco		NA	NA	NA	NA	1	NA
Streptopelia decaocto	Jane_Haakonsson_Sophie_O’Hehir		1	1	NA	1	1	1
Sturnus vulgaris	Tim_Adriaens,Elena_Tricarico		2	NA	2	2	2	2
Sus scrofa	Fred_Burton,Tim_Adriaens	moderate impact	NA	NA	NA	2	NA	NA
Sus scrofa	Fred_Burton,Tim_Adriaens,Elena_Tricarico	moderate impact	3	NA	3	NA	3	3
Sus scrofa	Fred_Burton,Tim_Adriaens,Mark_Outerbridge	moderate impact	NA	3	NA	NA	NA	NA
"Sylvilagus floridianus
nigronuchalis"	Mark_Outerbridge		NA	1	NA	NA	NA	NA
Testudo hermanii	Bryan_Manco		NA	NA	NA	NA	1	NA
Tiaris olivacea	Fred_Burton		1	1	1	1	1	1
Tilapia sp.	Fred_Burton		1	1	1	1	1	1
Tilapia zillii	Elena_Tricarico	To double check with local experts possible impacts on biodiversity of the different islands	1	1	1	1	1	1
Trachemys scripta	Fred_Burton,Tim_Adriaens,Jane_Haakonsson_Sophie_O’Hehir	Invasive in KY	3	3	NA	3	3	3
Varanus exanthematicus	Bryan_Manco		NA	NA	NA	NA	1	NA
Xenopus laevis	Bryan_Manco		NA	NA	NA	NA	1	NA
